activityName,phone,carName,cityName,leadsLevel,price,providerId,runAble,source
平台+抢单+S,15000000032,五菱宏光,武汉,S,28.33,355,1,2
平台+下发+S,15000000084,特斯拉,杭州,S,12.33,457,1,1
平台+抢单+C,15000000069,比亚迪,北京,C,24.33,99,1,2
平台+抢单+A,15000000072,五菱宏光,石家庄,A,35.33,41,1,2
客源宝+下发+A,15000000071,奥迪,厦门,A,31.33,768,1,1
客源宝+下发+D,15000000028,特斯拉,杭州,D,20.33,4,1,1
客源宝+下发+B,15000000090,比亚迪,上海,B,40.33,314,1,1
客源宝+抢单+C,15000000093,比亚迪,福州,C,43.33,732,1,2
平台+下发+B,15000000046,五菱宏光,北京,B,47.33,498,1,1
客源宝+抢单+B,15000000011,奔驰,武汉,B,10.33,88,1,2
客源宝+抢单+C,15000000092,特斯拉,江西,C,24.33,618,1,2
客源宝+抢单+C,15000000019,奥迪,杭州,C,34.33,330,1,2
客源宝+抢单+B,15000000002,特斯拉,北京,B,19.33,640,1,2
客源宝+抢单+S,15000000079,奥迪,福州,S,21.33,934,1,2
客源宝+下发+C,15000000001,比亚迪,江西,C,34.33,869,1,1
客源宝+抢单+D,15000000021,宝马,杭州,D,24.33,290,1,2
客源宝+下发+C,15000000067,法拉利,北京,C,28.33,629,1,1
平台+抢单+C,15000000010,五菱宏光,江西,C,43.33,372,1,2
客源宝+下发+A,15000000041,比亚迪,杭州,A,36.33,605,1,1
平台+抢单+A,15000000015,法拉利,厦门,A,20.33,578,1,2
平台+抢单+A,15000000063,比亚迪,北京,A,12.33,343,1,2
客源宝+下发+B,15000000050,五菱宏光,厦门,B,43.33,352,1,1
客源宝+抢单+S,15000000003,奔驰,上海,S,33.33,930,1,2
平台+抢单+C,15000000002,法拉利,厦门,C,29.33,521,1,2
客源宝+下发+D,15000000086,奥迪,成都,D,23.33,0,1,1
平台+下发+S,15000000001,五菱宏光,江西,S,14.33,416,1,1
平台+下发+C,15000000060,比亚迪,福州,C,17.33,331,1,1
客源宝+下发+B,15000000063,五菱宏光,石家庄,B,41.33,408,1,1
客源宝+抢单+D,15000000087,比亚迪,北京,D,32.33,809,1,2
平台+抢单+B,15000000030,比亚迪,成都,B,20.33,120,1,2
客源宝+下发+C,15000000034,比亚迪,石家庄,C,37.33,177,1,1
客源宝+下发+S,15000000082,法拉利,上海,S,15.33,166,1,1
平台+下发+D,15000000045,特斯拉,厦门,D,38.33,406,1,1
客源宝+抢单+C,15000000081,奥迪,福州,C,10.33,198,1,2
平台+抢单+D,15000000043,特斯拉,北京,D,46.33,209,1,2
客源宝+下发+D,15000000054,奔驰,石家庄,D,32.33,878,1,1
客源宝+抢单+D,15000000017,奔驰,厦门,D,48.33,407,1,2
平台+下发+C,15000000016,法拉利,北京,C,43.33,33,1,1
客源宝+抢单+D,15000000095,五菱宏光,厦门,D,15.33,288,1,2
客源宝+抢单+B,15000000012,法拉利,厦门,B,10.33,644,1,2
平台+抢单+C,15000000089,特斯拉,石家庄,C,39.33,230,1,2
客源宝+下发+D,15000000025,特斯拉,武汉,D,12.33,655,1,1
平台+下发+B,15000000027,宝马,上海,B,33.33,462,1,1
平台+抢单+D,15000000075,比亚迪,上海,D,49.33,403,1,2
客源宝+抢单+D,15000000098,特斯拉,上海,D,22.33,433,1,2
平台+抢单+S,15000000000,奥迪,北京,S,49.33,668,1,2
客源宝+下发+B,15000000009,特斯拉,成都,B,45.33,945,1,1
客源宝+抢单+D,15000000057,奥迪,石家庄,D,34.33,99,1,2
平台+抢单+S,15000000034,奔驰,厦门,S,11.33,354,1,2
平台+下发+A,15000000022,比亚迪,厦门,A,14.33,114,1,1
客源宝+抢单+B,15000000093,宝马,石家庄,B,13.33,399,1,2
平台+下发+B,15000000043,法拉利,上海,B,33.33,390,1,1
平台+抢单+D,15000000052,特斯拉,江西,D,12.33,352,1,2
客源宝+下发+D,15000000061,法拉利,成都,D,27.33,784,1,1
客源宝+抢单+D,15000000029,宝马,厦门,D,49.33,842,1,2
平台+下发+B,15000000098,法拉利,杭州,B,16.33,956,1,1
客源宝+下发+S,15000000043,宝马,厦门,S,10.33,124,1,1
平台+下发+A,15000000006,法拉利,厦门,A,43.33,939,1,1
客源宝+抢单+D,15000000012,特斯拉,武汉,D,33.33,536,1,2
客源宝+抢单+A,15000000039,奔驰,成都,A,37.33,986,1,2
平台+抢单+S,15000000086,比亚迪,福州,S,48.33,563,1,2
客源宝+抢单+S,15000000004,奔驰,北京,S,39.33,14,1,2
平台+抢单+B,15000000006,宝马,厦门,B,22.33,931,1,2
平台+抢单+B,15000000080,法拉利,杭州,B,34.33,772,1,2
客源宝+下发+B,15000000070,法拉利,武汉,B,27.33,423,1,1
客源宝+抢单+S,15000000077,比亚迪,杭州,S,21.33,65,1,2
平台+下发+B,15000000045,奥迪,武汉,B,24.33,189,1,1
客源宝+抢单+B,15000000032,法拉利,成都,B,21.33,920,1,2
平台+下发+B,15000000069,法拉利,北京,B,11.33,35,1,1
客源宝+下发+A,15000000006,宝马,厦门,A,36.33,286,1,1
平台+下发+S,15000000010,奥迪,厦门,S,37.33,191,1,1
客源宝+抢单+B,15000000086,奔驰,成都,B,38.33,592,1,2
客源宝+抢单+D,15000000089,五菱宏光,武汉,D,32.33,869,1,2
